Critère RGAA,État non certificatif,Éléments examinés / limites
4.4,Non applicable présumé — inventaire,"Aucun lecteur audio, vidéo ou objet multimédia intégré."
4.5,Non applicable présumé — inventaire,"Aucun lecteur audio, vidéo ou objet multimédia intégré."
4.6,Non applicable présumé — inventaire,"Aucun lecteur audio, vidéo ou objet multimédia intégré."
4.7,Non applicable présumé — inventaire,"Aucun lecteur audio, vidéo ou objet multimédia intégré."
4.8,Non applicable présumé — inventaire,"Aucun lecteur audio, vidéo ou objet multimédia intégré."
4.9,Non applicable présumé — inventaire,"Aucun lecteur audio, vidéo ou objet multimédia intégré."
4.10,Non applicable présumé — inventaire,"Aucun lecteur audio, vidéo ou objet multimédia intégré."
4.11,Non applicable présumé — inventaire,"Aucun lecteur audio, vidéo ou objet multimédia intégré."
4.12,Non applicable présumé — inventaire,"Aucun lecteur audio, vidéo ou objet multimédia intégré."
4.13,Non applicable présumé — inventaire,"Aucun lecteur audio, vidéo ou objet multimédia intégré."
5.1,Non applicable présumé — inventaire,"Tableaux simples d’enseignement : caption, th et scope. Restitution avec lecteur d’écran à valider."
5.2,Non applicable présumé — inventaire,"Tableaux simples d’enseignement : caption, th et scope. Restitution avec lecteur d’écran à valider."
5.3,Non applicable présumé — inventaire,"Tableaux simples d’enseignement : caption, th et scope. Restitution avec lecteur d’écran à valider."
5.4,Contrôlé partiellement — validation humaine nécessaire,"Tableaux simples d’enseignement : caption, th et scope. Restitution avec lecteur d’écran à valider."
5.5,Contrôlé partiellement — validation humaine nécessaire,"Tableaux simples d’enseignement : caption, th et scope. Restitution avec lecteur d’écran à valider."
5.6,Contrôlé partiellement — validation humaine nécessaire,"Tableaux simples d’enseignement : caption, th et scope. Restitution avec lecteur d’écran à valider."
5.7,Contrôlé partiellement — validation humaine nécessaire,"Tableaux simples d’enseignement : caption, th et scope. Restitution avec lecteur d’écran à valider."
5.8,Non applicable présumé — inventaire,"Tableaux simples d’enseignement : caption, th et scope. Restitution avec lecteur d’écran à valider."
6.1,Contrôlé partiellement — validation humaine nécessaire,Intitulés des liens inspectés ; liens langue explicites ; versions HTML voisines des téléchargements PDF. Compréhension hors contexte à valider.
6.2,Contrôlé partiellement — validation humaine nécessaire,Intitulés des liens inspectés ; liens langue explicites ; versions HTML voisines des téléchargements PDF. Compréhension hors contexte à valider.
7.1,Contrôlé partiellement — validation humaine nécessaire,"Menus natifs details/summary, Escape avec retour du focus, réglages de lecture à commandes natives et annonce status. Tests clavier et repli sans JS ; restitution vocale à valider."
7.2,Contrôlé partiellement — validation humaine nécessaire,"Menus natifs details/summary, Escape avec retour du focus, réglages de lecture à commandes natives et annonce status. Tests clavier et repli sans JS ; restitution vocale à valider."
7.3,Contrôlé partiellement — validation humaine nécessaire,"Menus natifs details/summary, Escape avec retour du focus, réglages de lecture à commandes natives et annonce status. Tests clavier et repli sans JS ; restitution vocale à valider."
7.4,Contrôlé partiellement — validation humaine nécessaire,"Menus natifs details/summary, Escape avec retour du focus, réglages de lecture à commandes natives et annonce status. Tests clavier et repli sans JS ; restitution vocale à valider."
7.5,Contrôlé partiellement — validation humaine nécessaire,"Menus natifs details/summary, Escape avec retour du focus, réglages de lecture à commandes natives et annonce status. Tests clavier et repli sans JS ; restitution vocale à valider."
8.1,Contrôlé partiellement — validation humaine nécessaire,"Doctype, langue principale, titres, identifiants, alternatives et balisage inspectés. Changements de langue dans les contenus scientifiques à relire."
8.2,Contrôlé partiellement — validation humaine nécessaire,"Doctype, langue principale, titres, identifiants, alternatives et balisage inspectés. Changements de langue dans les contenus scientifiques à relire."
8.3,Contrôlé partiellement — validation humaine nécessaire,"Doctype, langue principale, titres, identifiants, alternatives et balisage inspectés. Changements de langue dans les contenus scientifiques à relire."
8.4,Contrôlé partiellement — validation humaine nécessaire,"Doctype, langue principale, titres, identifiants, alternatives et balisage inspectés. Changements de langue dans les contenus scientifiques à relire."
8.5,Contrôlé partiellement — validation humaine nécessaire,"Doctype, langue principale, titres, identifiants, alternatives et balisage inspectés. Changements de langue dans les contenus scientifiques à relire."
8.6,Contrôlé partiellement — validation humaine nécessaire,"Doctype, langue principale, titres, identifiants, alternatives et balisage inspectés. Changements de langue dans les contenus scientifiques à relire."
8.7,Contrôlé partiellement — validation humaine nécessaire,"Doctype, langue principale, titres, identifiants, alternatives et balisage inspectés. Changements de langue dans les contenus scientifiques à relire."
8.8,Contrôlé partiellement — validation humaine nécessaire,"Doctype, langue principale, titres, identifiants, alternatives et balisage inspectés. Changements de langue dans les contenus scientifiques à relire."
8.9,Contrôlé partiellement — validation humaine nécessaire,"Doctype, langue principale, titres, identifiants, alternatives et balisage inspectés. Changements de langue dans les contenus scientifiques à relire."
8.10,Non applicable présumé — inventaire,"Doctype, langue principale, titres, identifiants, alternatives et balisage inspectés. Changements de langue dans les contenus scientifiques à relire."
9.1,Contrôlé partiellement — validation humaine nécessaire,"Un contenu principal, titres, landmarks, listes et fil d’Ariane. Qualité de l’ordre de lecture à valider avec aide technique."
9.2,Contrôlé partiellement — validation humaine nécessaire,"Un contenu principal, titres, landmarks, listes et fil d’Ariane. Qualité de l’ordre de lecture à valider avec aide technique."
9.3,Contrôlé partiellement — validation humaine nécessaire,"Un contenu principal, titres, landmarks, listes et fil d’Ariane. Qualité de l’ordre de lecture à valider avec aide technique."
9.4,Contrôlé partiellement — validation humaine nécessaire,"Un contenu principal, titres, landmarks, listes et fil d’Ariane. Qualité de l’ordre de lecture à valider avec aide technique."
10.1,Contrôlé partiellement — validation humaine nécessaire,"Reflow 320 pixels, texte 200 %, espacements WCAG testés ; focus contrasté ; couleurs forcées sur les menus. Lecture sans CSS et avec zoom navigateur réel à valider."
10.2,Contrôlé partiellement — validation humaine nécessaire,"Reflow 320 pixels, texte 200 %, espacements WCAG testés ; focus contrasté ; couleurs forcées sur les menus. Lecture sans CSS et avec zoom navigateur réel à valider."
10.3,Contrôlé partiellement — validation humaine nécessaire,"Reflow 320 pixels, texte 200 %, espacements WCAG testés ; focus contrasté ; couleurs forcées sur les menus. Lecture sans CSS et avec zoom navigateur réel à valider."
10.4,Contrôlé partiellement — validation humaine nécessaire,"Reflow 320 pixels, texte 200 %, espacements WCAG testés ; focus contrasté ; couleurs forcées sur les menus. Lecture sans CSS et avec zoom navigateur réel à valider."
10.5,Contrôlé partiellement — validation humaine nécessaire,"Reflow 320 pixels, texte 200 %, espacements WCAG testés ; focus contrasté ; couleurs forcées sur les menus. Lecture sans CSS et avec zoom navigateur réel à valider."
10.6,Contrôlé partiellement — validation humaine nécessaire,"Reflow 320 pixels, texte 200 %, espacements WCAG testés ; focus contrasté ; couleurs forcées sur les menus. Lecture sans CSS et avec zoom navigateur réel à valider."
10.7,Contrôlé partiellement — validation humaine nécessaire,"Reflow 320 pixels, texte 200 %, espacements WCAG testés ; focus contrasté ; couleurs forcées sur les menus. Lecture sans CSS et avec zoom navigateur réel à valider."
10.8,Contrôlé partiellement — validation humaine nécessaire,"Reflow 320 pixels, texte 200 %, espacements WCAG testés ; focus contrasté ; couleurs forcées sur les menus. Lecture sans CSS et avec zoom navigateur réel à valider."
10.9,Contrôlé partiellement — validation humaine nécessaire,"Reflow 320 pixels, texte 200 %, espacements WCAG testés ; focus contrasté ; couleurs forcées sur les menus. Lecture sans CSS et avec zoom navigateur réel à valider."
10.10,Contrôlé partiellement — validation humaine nécessaire,"Reflow 320 pixels, texte 200 %, espacements WCAG testés ; focus contrasté ; couleurs forcées sur les menus. Lecture sans CSS et avec zoom navigateur réel à valider."
10.11,Contrôlé partiellement — validation humaine nécessaire,"Reflow 320 pixels, texte 200 %, espacements WCAG testés ; focus contrasté ; couleurs forcées sur les menus. Lecture sans CSS et avec zoom navigateur réel à valider."
10.12,Contrôlé partiellement — validation humaine nécessaire,"Reflow 320 pixels, texte 200 %, espacements WCAG testés ; focus contrasté ; couleurs forcées sur les menus. Lecture sans CSS et avec zoom navigateur réel à valider."
10.13,Non applicable présumé — inventaire,"Reflow 320 pixels, texte 200 %, espacements WCAG testés ; focus contrasté ; couleurs forcées sur les menus. Lecture sans CSS et avec zoom navigateur réel à valider."
10.14,Non applicable présumé — inventaire,"Reflow 320 pixels, texte 200 %, espacements WCAG testés ; focus contrasté ; couleurs forcées sur les menus. Lecture sans CSS et avec zoom navigateur réel à valider."
11.1,Contrôlé partiellement — validation humaine nécessaire,Les seuls champs sont des préférences locales avec labels et commandes natives. Aucun envoi de formulaire ni collecte de données personnelles.
11.2,Contrôlé partiellement — validation humaine nécessaire,Les seuls champs sont des préférences locales avec labels et commandes natives. Aucun envoi de formulaire ni collecte de données personnelles.
11.3,Contrôlé partiellement — validation humaine nécessaire,Les seuls champs sont des préférences locales avec labels et commandes natives. Aucun envoi de formulaire ni collecte de données personnelles.
11.4,Contrôlé partiellement — validation humaine nécessaire,Les seuls champs sont des préférences locales avec labels et commandes natives. Aucun envoi de formulaire ni collecte de données personnelles.
11.5,Non applicable présumé — inventaire,Les seuls champs sont des préférences locales avec labels et commandes natives. Aucun envoi de formulaire ni collecte de données personnelles.
11.6,Non applicable présumé — inventaire,Les seuls champs sont des préférences locales avec labels et commandes natives. Aucun envoi de formulaire ni collecte de données personnelles.
11.7,Non applicable présumé — inventaire,Les seuls champs sont des préférences locales avec labels et commandes natives. Aucun envoi de formulaire ni collecte de données personnelles.
11.8,Non applicable présumé — inventaire,Les seuls champs sont des préférences locales avec labels et commandes natives. Aucun envoi de formulaire ni collecte de données personnelles.
11.9,Contrôlé partiellement — validation humaine nécessaire,Les seuls champs sont des préférences locales avec labels et commandes natives. Aucun envoi de formulaire ni collecte de données personnelles.
11.10,Non applicable présumé — inventaire,Les seuls champs sont des préférences locales avec labels et commandes natives. Aucun envoi de formulaire ni collecte de données personnelles.
11.11,Non applicable présumé — inventaire,Les seuls champs sont des préférences locales avec labels et commandes natives. Aucun envoi de formulaire ni collecte de données personnelles.
11.12,Non applicable présumé — inventaire,Les seuls champs sont des préférences locales avec labels et commandes natives. Aucun envoi de formulaire ni collecte de données personnelles.
11.13,Non applicable présumé — inventaire,Les seuls champs sont des préférences locales avec labels et commandes natives. Aucun envoi de formulaire ni collecte de données personnelles.
12.1,Contrôlé partiellement — validation humaine nécessaire,"Navigation homogène, plan du site, lien d’évitement et menu au clavier. Vérifier un parcours complet avec lecteur d’écran et grossissement."
12.2,Contrôlé partiellement — validation humaine nécessaire,"Navigation homogène, plan du site, lien d’évitement et menu au clavier. Vérifier un parcours complet avec lecteur d’écran et grossissement."
12.3,Contrôlé partiellement — validation humaine nécessaire,"Navigation homogène, plan du site, lien d’évitement et menu au clavier. Vérifier un parcours complet avec lecteur d’écran et grossissement."
12.4,Contrôlé partiellement — validation humaine nécessaire,"Navigation homogène, plan du site, lien d’évitement et menu au clavier. Vérifier un parcours complet avec lecteur d’écran et grossissement."
12.5,Non applicable présumé — inventaire,"Navigation homogène, plan du site, lien d’évitement et menu au clavier. Vérifier un parcours complet avec lecteur d’écran et grossissement."
12.6,Contrôlé partiellement — validation humaine nécessaire,"Navigation homogène, plan du site, lien d’évitement et menu au clavier. Vérifier un parcours complet avec lecteur d’écran et grossissement."
12.7,Contrôlé partiellement — validation humaine nécessaire,"Navigation homogène, plan du site, lien d’évitement et menu au clavier. Vérifier un parcours complet avec lecteur d’écran et grossissement."
12.8,Contrôlé partiellement — validation humaine nécessaire,"Navigation homogène, plan du site, lien d’évitement et menu au clavier. Vérifier un parcours complet avec lecteur d’écran et grossissement."
12.9,Contrôlé partiellement — validation humaine nécessaire,"Navigation homogène, plan du site, lien d’évitement et menu au clavier. Vérifier un parcours complet avec lecteur d’écran et grossissement."
12.10,Non applicable présumé — inventaire,"Navigation homogène, plan du site, lien d’évitement et menu au clavier. Vérifier un parcours complet avec lecteur d’écran et grossissement."
12.11,Contrôlé partiellement — validation humaine nécessaire,"Navigation homogène, plan du site, lien d’évitement et menu au clavier. Vérifier un parcours complet avec lecteur d’écran et grossissement."
13.1,Non applicable présumé — inventaire,"Pas de minuterie, son, clignotement ou interaction gestuelle imposée. Quatre PDF ont des versions HTML intégrales ; PDF français corrigés pour la langue. Ordre de lecture PDF et équivalence éditoriale à valider."
13.2,Non applicable présumé — inventaire,"Pas de minuterie, son, clignotement ou interaction gestuelle imposée. Quatre PDF ont des versions HTML intégrales ; PDF français corrigés pour la langue. Ordre de lecture PDF et équivalence éditoriale à valider."
13.3,Contrôlé partiellement — validation humaine nécessaire,"Pas de minuterie, son, clignotement ou interaction gestuelle imposée. Quatre PDF ont des versions HTML intégrales ; PDF français corrigés pour la langue. Ordre de lecture PDF et équivalence éditoriale à valider."
13.4,Contrôlé partiellement — validation humaine nécessaire,"Pas de minuterie, son, clignotement ou interaction gestuelle imposée. Quatre PDF ont des versions HTML intégrales ; PDF français corrigés pour la langue. Ordre de lecture PDF et équivalence éditoriale à valider."
13.5,Non applicable présumé — inventaire,"Pas de minuterie, son, clignotement ou interaction gestuelle imposée. Quatre PDF ont des versions HTML intégrales ; PDF français corrigés pour la langue. Ordre de lecture PDF et équivalence éditoriale à valider."
13.6,Non applicable présumé — inventaire,"Pas de minuterie, son, clignotement ou interaction gestuelle imposée. Quatre PDF ont des versions HTML intégrales ; PDF français corrigés pour la langue. Ordre de lecture PDF et équivalence éditoriale à valider."
13.7,Non applicable présumé — inventaire,"Pas de minuterie, son, clignotement ou interaction gestuelle imposée. Quatre PDF ont des versions HTML intégrales ; PDF français corrigés pour la langue. Ordre de lecture PDF et équivalence éditoriale à valider."
13.8,Non applicable présumé — inventaire,"Pas de minuterie, son, clignotement ou interaction gestuelle imposée. Quatre PDF ont des versions HTML intégrales ; PDF français corrigés pour la langue. Ordre de lecture PDF et équivalence éditoriale à valider."
13.9,Contrôlé partiellement — validation humaine nécessaire,"Pas de minuterie, son, clignotement ou interaction gestuelle imposée. Quatre PDF ont des versions HTML intégrales ; PDF français corrigés pour la langue. Ordre de lecture PDF et équivalence éditoriale à valider."
13.10,Non applicable présumé — inventaire,"Pas de minuterie, son, clignotement ou interaction gestuelle imposée. Quatre PDF ont des versions HTML intégrales ; PDF français corrigés pour la langue. Ordre de lecture PDF et équivalence éditoriale à valider."
13.11,Contrôlé partiellement — validation humaine nécessaire,"Pas de minuterie, son, clignotement ou interaction gestuelle imposée. Quatre PDF ont des versions HTML intégrales ; PDF français corrigés pour la langue. Ordre de lecture PDF et équivalence éditoriale à valider."
13.12,Non applicable présumé — inventaire,"Pas de minuterie, son, clignotement ou interaction gestuelle imposée. Quatre PDF ont des versions HTML intégrales ; PDF français corrigés pour la langue. Ordre de lecture PDF et équivalence éditoriale à valider."
